marker_EOI_content_after_num,marker_DQT_num,marker_DHT_num,file_markers_num,marker_DQT_size_max,marker_DHT_size_max,file_size,marker_COM_size_max,marker_APP1_size_max,marker_APP12_size_max,target
0,2,4,11,67,181,11643,0,0,0,0
0,2,4,11,67,181,11746,0,0,0,0
0,2,4,11,67,181,10460,0,0,0,0
0,2,4,11,67,181,13539,0,0,0,0
0,2,4,11,67,181,11250,0,0,0,0
0,2,4,11,67,181,10226,0,0,0,0
0,2,4,11,67,181,13892,0,0,0,0
0,2,4,11,67,181,10168,0,0,0,0
0,2,4,11,67,181,10828,0,0,0,0
0,2,4,11,67,181,11292,0,0,0,0
0,2,4,11,67,181,12851,0,0,0,0
0,2,4,11,67,181,9637,0,0,0,0
0,2,4,11,67,181,10088,0,0,0,0
0,2,4,11,67,181,9664,0,0,0,0
0,2,4,11,67,181,13268,0,0,0,0
0,2,4,11,67,181,11811,0,0,0,0
0,2,4,11,67,181,8543,0,0,0,0
0,2,4,11,67,181,14974,0,0,0,0
0,2,4,11,67,181,8569,0,0,0,0
0,2,4,11,67,181,11731,0,0,0,0
0,2,4,11,67,181,19215,0,0,0,0
0,2,4,11,67,181,9058,0,0,0,0
0,2,4,11,67,181,9934,0,0,0,0
0,2,4,11,67,181,9612,0,0,0,0
0,2,4,11,67,181,13053,0,0,0,0
0,2,4,11,67,181,8377,0,0,0,0
0,2,4,11,67,181,20038,0,0,0,0
0,2,4,11,67,181,11241,0,0,0,0
0,2,4,11,67,181,16726,0,0,0,0
0,2,4,11,67,181,9517,0,0,0,0
0,2,4,11,67,181,11068,0,0,0,0
0,2,4,11,67,181,9296,0,0,0,0
0,2,4,11,67,181,11111,0,0,0,0
0,2,4,11,67,181,11587,0,0,0,0
0,2,4,11,67,181,12519,0,0,0,0
0,2,4,11,67,181,10166,0,0,0,0
0,2,4,11,67,181,13762,0,0,0,0
0,2,4,11,67,181,10980,0,0,0,0
0,2,4,11,67,181,10850,0,0,0,0
0,2,4,11,67,181,17434,0,0,0,0
0,2,4,11,67,181,9748,0,0,0,0
0,2,4,11,67,181,7222,0,0,0,0
0,2,4,11,67,181,14928,0,0,0,0
0,2,4,11,67,181,10075,0,0,0,0
0,2,4,11,67,181,12367,0,0,0,0
0,2,4,11,67,181,10781,0,0,0,0
0,2,4,11,67,181,14293,0,0,0,0
0,2,4,11,67,181,9503,0,0,0,0
0,2,4,11,67,181,11187,0,0,0,0
0,2,4,11,67,181,10201,0,0,0,0
0,2,4,11,67,181,10780,0,0,0,0
0,2,4,11,67,181,13843,0,0,0,0
0,2,4,11,67,181,14637,0,0,0,0
0,2,4,11,67,181,15718,0,0,0,0
0,2,4,11,67,181,8518,0,0,0,0
0,2,4,11,67,181,15189,0,0,0,0
0,2,4,11,67,181,13542,0,0,0,0
0,2,4,11,67,181,10704,0,0,0,0
0,2,4,11,67,181,14413,0,0,0,0
0,2,4,11,67,181,16483,0,0,0,0
0,2,4,11,67,181,11514,0,0,0,0
0,2,4,11,67,181,11567,0,0,0,0
0,2,4,11,67,181,12350,0,0,0,0
0,2,4,11,67,181,14094,0,0,0,0
0,2,4,11,67,181,14051,0,0,0,0
0,2,4,11,67,181,13814,0,0,0,0
0,2,4,11,67,181,16491,0,0,0,0
0,2,4,11,67,181,8575,0,0,0,0
0,2,4,11,67,181,17855,0,0,0,0
0,2,4,11,67,181,9789,0,0,0,0
0,2,4,11,67,181,11594,0,0,0,0
0,2,4,11,67,181,10043,0,0,0,0
0,2,4,11,67,181,18612,0,0,0,0
0,2,4,11,67,181,14241,0,0,0,0
0,2,4,11,67,181,8575,0,0,0,0
0,2,4,11,67,181,16793,0,0,0,0
0,2,4,11,67,181,14175,0,0,0,0
0,2,4,11,67,181,11725,0,0,0,0
0,2,4,11,67,181,12465,0,0,0,0
0,2,4,11,67,181,13998,0,0,0,0
0,2,4,11,67,181,10916,0,0,0,0
0,2,4,11,67,181,10328,0,0,0,0
0,2,4,11,67,181,12748,0,0,0,0
0,2,4,11,67,181,11647,0,0,0,0
0,2,4,11,67,181,13605,0,0,0,0
0,2,4,11,67,181,14574,0,0,0,0
0,2,4,11,67,181,14114,0,0,0,0
0,2,4,11,67,181,11483,0,0,0,0
0,2,4,11,67,181,13101,0,0,0,0
0,2,4,11,67,181,10950,0,0,0,0
0,2,4,11,67,181,13492,0,0,0,0
0,2,4,11,67,181,20065,0,0,0,0
0,2,4,11,67,181,9938,0,0,0,0
0,2,4,11,67,181,11750,0,0,0,0
0,2,4,11,67,181,9477,0,0,0,0
0,2,4,11,67,181,14880,0,0,0,0
0,2,4,11,67,181,9099,0,0,0,0
0,2,4,11,67,181,11942,0,0,0,0
0,2,4,11,67,181,9368,0,0,0,0
0,2,4,11,67,181,11858,0,0,0,0
0,2,4,11,67,181,12228,0,0,0,0
0,2,4,11,67,181,9676,0,0,0,0
0,2,4,11,67,181,9751,0,0,0,0
0,2,4,11,67,181,16396,0,0,0,0
0,2,4,11,67,181,10200,0,0,0,0
0,2,4,11,67,181,15326,0,0,0,0
0,2,4,11,67,181,16424,0,0,0,0
0,2,4,11,67,181,11494,0,0,0,0
0,2,4,11,67,181,14875,0,0,0,0
0,2,4,11,67,181,12067,0,0,0,0
0,2,4,11,67,181,9811,0,0,0,0
0,2,4,11,67,181,11834,0,0,0,0
0,2,4,11,67,181,10194,0,0,0,0
0,2,4,11,67,181,12791,0,0,0,0
0,2,4,11,67,181,11429,0,0,0,0
0,2,4,11,67,181,17721,0,0,0,0
0,2,4,11,67,181,10083,0,0,0,0
0,2,4,11,67,181,14026,0,0,0,0
0,2,4,11,67,181,8763,0,0,0,0
0,2,4,11,67,181,20003,0,0,0,0
0,2,4,11,67,181,13943,0,0,0,0
0,2,4,11,67,181,9017,0,0,0,0
0,2,4,11,67,181,10361,0,0,0,0
0,2,4,11,67,181,9877,0,0,0,0
0,2,4,11,67,181,8059,0,0,0,0
0,2,4,11,67,181,10269,0,0,0,0
0,2,4,11,67,181,7930,0,0,0,0
0,2,4,11,67,181,7242,0,0,0,0
0,2,4,11,67,181,14535,0,0,0,0
0,2,4,11,67,181,14565,0,0,0,0
0,2,4,11,67,181,13933,0,0,0,0
0,2,4,11,67,181,13071,0,0,0,0
0,2,4,11,67,181,10858,0,0,0,0
0,2,4,11,67,181,9541,0,0,0,0
0,2,4,11,67,181,9802,0,0,0,0
0,2,4,11,67,181,10434,0,0,0,0
0,2,4,11,67,181,11019,0,0,0,0
0,2,4,11,67,181,15605,0,0,0,0
0,2,4,11,67,181,10320,0,0,0,0
0,2,4,11,67,181,11841,0,0,0,0
0,2,4,11,67,181,14376,0,0,0,0
0,2,4,11,67,181,7856,0,0,0,0
0,2,4,11,67,181,12535,0,0,0,0
0,2,4,11,67,181,15786,0,0,0,0
0,2,4,11,67,181,11255,0,0,0,0
0,2,4,11,67,181,13588,0,0,0,0
0,2,4,11,67,181,8959,0,0,0,0
0,2,4,11,67,181,13647,0,0,0,0
0,2,4,11,67,181,19030,0,0,0,0
0,2,4,11,67,181,8989,0,0,0,0
0,2,4,11,67,181,14962,0,0,0,0
0,1,7,20,132,51,18622,0,0,0,0
0,2,4,11,67,181,12558,0,0,0,0
0,2,4,11,67,181,9375,0,0,0,0
0,2,4,11,67,181,11801,0,0,0,0
0,2,4,11,67,181,19074,0,0,0,0
0,2,4,11,67,181,16438,0,0,0,0
0,2,4,11,67,181,11766,0,0,0,0
0,2,4,11,67,181,11176,0,0,0,0
0,2,4,11,67,181,12593,0,0,0,0
0,2,4,11,67,181,18550,0,0,0,0
0,2,4,11,67,181,10351,0,0,0,0
0,2,4,11,67,181,13779,0,0,0,0
0,2,4,11,67,181,9674,0,0,0,0
0,2,4,11,67,181,11256,0,0,0,0
0,2,4,11,67,181,11838,0,0,0,0
0,2,4,11,67,181,10376,0,0,0,0
0,2,4,11,67,181,7870,0,0,0,0
0,2,4,11,67,181,12756,0,0,0,0
0,2,4,11,67,181,13247,0,0,0,0
0,2,4,11,67,181,18006,0,0,0,0
0,2,4,11,67,181,7653,0,0,0,0
0,2,4,11,67,181,13434,0,0,0,0
0,2,4,11,67,181,16341,0,0,0,0
0,2,4,11,67,181,10042,0,0,0,0
0,2,4,11,67,181,12882,0,0,0,0
0,2,4,11,67,181,11467,0,0,0,0
0,2,4,11,67,181,18458,0,0,0,0
0,2,4,11,67,181,12171,0,0,0,0
0,2,4,11,67,181,10840,0,0,0,0
0,2,4,11,67,181,11893,0,0,0,0
0,2,4,11,67,181,12370,0,0,0,0
0,2,4,11,67,181,15087,0,0,0,0
0,2,4,11,67,181,11554,0,0,0,0
0,2,4,11,67,181,10984,0,0,0,0
0,2,4,11,67,181,16159,0,0,0,0
0,2,4,11,67,181,10668,0,0,0,0
0,2,4,11,67,181,13825,0,0,0,0
0,2,4,11,67,181,11567,0,0,0,0
0,2,4,11,67,181,11550,0,0,0,0
0,2,4,11,67,181,11704,0,0,0,0
0,2,4,11,67,181,16610,0,0,0,0
0,2,4,11,67,181,13783,0,0,0,0
0,2,4,11,67,181,13445,0,0,0,0
0,2,4,11,67,181,14234,0,0,0,0
0,2,4,11,67,181,9563,0,0,0,0
0,2,4,11,67,181,11217,0,0,0,0
0,2,4,11,67,181,10683,0,0,0,0
0,2,4,11,67,181,11339,0,0,0,0
0,2,4,11,67,181,11869,0,0,0,0
0,2,4,11,67,181,13572,0,0,0,0
0,2,4,11,67,181,11685,0,0,0,0
0,2,4,11,67,181,12929,0,0,0,0
0,2,4,11,67,181,8263,0,0,0,0
0,2,4,11,67,181,12446,0,0,0,0
0,2,4,11,67,181,10091,0,0,0,0
0,2,4,11,67,181,13528,0,0,0,0
0,2,4,11,67,181,9475,0,0,0,0
0,2,4,11,67,181,9363,0,0,0,0
0,2,4,11,67,181,12174,0,0,0,0
0,2,4,11,67,181,15578,0,0,0,0
0,2,4,11,67,181,11995,0,0,0,0
0,2,4,11,67,181,15134,0,0,0,0
0,2,4,11,67,181,15683,0,0,0,0
0,2,4,11,67,181,13698,0,0,0,0
0,1,14,34,132,63,853642,0,0,0,0
0,2,4,11,67,181,15745,0,0,0,0
0,2,4,11,67,181,10013,0,0,0,0
0,2,4,11,67,181,10631,0,0,0,0
0,2,4,11,67,181,15323,0,0,0,0
0,2,4,11,67,181,15409,0,0,0,0
0,2,4,11,67,181,11224,0,0,0,0
0,2,4,11,67,181,11213,0,0,0,0
0,2,4,11,67,181,11723,0,0,0,0
0,2,4,11,67,181,9320,0,0,0,0
0,2,4,11,67,181,11914,0,0,0,0
0,2,4,11,67,181,11875,0,0,0,0
0,2,4,11,67,181,17903,0,0,0,0
0,2,4,11,67,181,14030,0,0,0,0
0,2,4,11,67,181,14825,0,0,0,0
0,2,4,11,67,181,9240,0,0,0,0
0,2,4,11,67,181,10299,0,0,0,0
0,2,4,11,67,181,13557,0,0,0,0
0,2,4,11,67,181,14417,0,0,0,0
0,2,4,11,67,181,11857,0,0,0,0
0,2,4,11,67,181,10889,0,0,0,0
0,2,4,11,67,181,13733,0,0,0,0
0,2,4,11,67,181,11588,0,0,0,0
0,2,4,11,67,181,11309,0,0,0,0
0,2,4,11,67,181,10886,0,0,0,0
0,2,4,11,67,181,10517,0,0,0,0
0,2,4,11,67,181,11222,0,0,0,0
0,2,4,11,67,181,10756,0,0,0,0
0,2,4,11,67,181,14076,0,0,0,0
0,2,4,11,67,181,13736,0,0,0,0
0,2,4,11,67,181,13851,0,0,0,0
0,2,4,11,67,181,11593,0,0,0,0
0,2,4,11,67,181,12853,0,0,0,0
0,2,4,11,67,181,17426,0,0,0,0
0,2,4,11,67,181,12695,0,0,0,0
0,2,4,11,67,181,7908,0,0,0,0
0,2,4,11,67,181,9173,0,0,0,0
0,2,4,11,67,181,8161,0,0,0,0
0,2,4,11,67,181,18272,0,0,0,0
0,2,4,11,67,181,14529,0,0,0,0
0,2,4,11,67,181,12579,0,0,0,0
0,2,4,11,67,181,16118,0,0,0,0
0,2,4,11,67,181,13263,0,0,0,0
0,2,4,11,67,181,16459,0,0,0,0
0,2,4,11,67,181,11817,0,0,0,0
0,2,4,11,67,181,15098,0,0,0,0
0,2,4,11,67,181,18266,0,0,0,0
0,2,4,11,67,181,13756,0,0,0,0
0,2,4,11,67,181,13529,0,0,0,0
0,2,4,11,67,181,14657,0,0,0,0
0,2,4,11,67,181,13257,0,0,0,0
0,2,4,11,67,181,12483,0,0,0,0
0,2,4,11,67,181,14250,0,0,0,0
0,2,4,11,67,181,11036,0,0,0,0
0,2,4,11,67,181,15929,0,0,0,0
0,2,4,11,67,181,10083,0,0,0,0
0,2,4,11,67,181,11933,0,0,0,0
0,2,4,11,67,181,17766,0,0,0,0
0,2,4,11,67,181,16686,0,0,0,0
0,2,4,11,67,181,9758,0,0,0,0
0,2,4,11,67,181,12309,0,0,0,0
0,2,4,11,67,181,8436,0,0,0,0
0,2,4,11,67,181,10604,0,0,0,0
0,2,4,11,67,181,9948,0,0,0,0
0,2,4,11,67,181,11704,0,0,0,0
0,2,4,11,67,181,15524,0,0,0,0
0,2,4,11,67,181,15736,0,0,0,0
0,2,4,11,67,181,12218,0,0,0,0
0,2,4,11,67,181,7644,0,0,0,0
0,2,4,11,67,181,16631,0,0,0,0
0,2,4,11,67,181,13745,0,0,0,0
0,2,4,11,67,181,15010,0,0,0,0
0,2,4,11,67,181,10815,0,0,0,0
0,2,4,11,67,181,13407,0,0,0,0
0,2,4,11,67,181,10756,0,0,0,0
0,2,4,11,67,181,10053,0,0,0,0
0,2,4,11,67,181,13871,0,0,0,0
0,2,4,11,67,181,14063,0,0,0,0
0,2,4,11,67,181,13374,0,0,0,0
0,2,4,11,67,181,10953,0,0,0,0
0,2,4,11,67,181,11391,0,0,0,0
0,2,4,11,67,181,9230,0,0,0,0
0,2,4,11,67,181,8336,0,0,0,0
0,2,4,11,67,181,11813,0,0,0,0
0,2,4,11,67,181,11461,0,0,0,0
0,2,4,11,67,181,13533,0,0,0,0
0,2,4,11,67,181,15917,0,0,0,0
0,2,4,11,67,181,11165,0,0,0,0
0,2,4,11,67,181,16196,0,0,0,0
0,2,4,11,67,181,7822,0,0,0,0
0,2,4,11,67,181,10664,0,0,0,0
0,2,4,11,67,181,13533,0,0,0,0
0,2,4,11,67,181,11155,0,0,0,0
0,2,4,11,67,181,11448,0,0,0,0
0,2,4,11,67,181,12010,0,0,0,0
0,2,4,11,67,181,12880,0,0,0,0
0,2,4,11,67,181,15729,0,0,0,0
0,2,4,11,67,181,10040,0,0,0,0
0,2,4,11,67,181,11136,0,0,0,0
0,2,4,11,67,181,15422,0,0,0,0
0,2,4,11,67,181,10283,0,0,0,0
0,2,4,11,67,181,12613,0,0,0,0
0,2,4,11,67,181,7796,0,0,0,0
0,2,4,11,67,181,11669,0,0,0,0
0,2,4,11,67,181,9576,0,0,0,0
0,2,4,11,67,181,13537,0,0,0,0
0,2,4,11,67,181,10359,0,0,0,0
0,2,4,11,67,181,13554,0,0,0,0
0,2,4,11,67,181,12139,0,0,0,0
0,2,4,11,67,181,11402,0,0,0,0
0,2,4,11,67,181,12359,0,0,0,0
0,2,4,11,67,181,13313,0,0,0,0
0,2,4,11,67,181,14769,0,0,0,0
0,2,4,11,67,181,12638,0,0,0,0
0,2,4,11,67,181,14800,0,0,0,0
0,2,4,11,67,181,10559,0,0,0,0
0,2,4,11,67,181,15791,0,0,0,0
0,2,4,11,67,181,7286,0,0,0,0
0,2,4,11,67,181,7607,0,0,0,0
0,2,4,11,67,181,10776,0,0,0,0
0,2,4,11,67,181,12833,0,0,0,0
0,2,4,11,67,181,13807,0,0,0,0
0,2,4,11,67,181,13580,0,0,0,0
0,2,4,11,67,181,9804,0,0,0,0
0,2,4,11,67,181,11227,0,0,0,0
0,2,4,11,67,181,8928,0,0,0,0
0,2,4,11,67,181,10028,0,0,0,0
0,2,4,11,67,181,16712,0,0,0,0
0,2,4,11,67,181,12722,0,0,0,0
0,2,4,11,67,181,14600,0,0,0,0
0,2,4,11,67,181,11251,0,0,0,0
0,2,4,11,67,181,12673,0,0,0,0
0,2,4,11,67,181,11704,0,0,0,0
0,2,4,11,67,181,9519,0,0,0,0
0,2,4,11,67,181,11523,0,0,0,0
0,2,4,11,67,181,17228,0,0,0,0
0,2,4,11,67,181,14712,0,0,0,0
0,2,4,11,67,181,9201,0,0,0,0
0,2,4,11,67,181,10286,0,0,0,0
0,2,4,11,67,181,9660,0,0,0,0
0,2,4,11,67,181,11247,0,0,0,0
0,2,4,11,67,181,10236,0,0,0,0
0,2,4,11,67,181,9598,0,0,0,0
0,2,4,11,67,181,11209,0,0,0,0
0,2,4,11,67,181,13954,0,0,0,0
0,2,4,11,67,181,11029,0,0,0,0
0,2,4,11,67,181,9971,0,0,0,0
0,2,4,11,67,181,11150,0,0,0,0
0,2,4,11,67,181,14203,0,0,0,0
0,2,4,11,67,181,16878,0,0,0,0
0,2,4,11,67,181,11553,0,0,0,0
0,2,4,11,67,181,7989,0,0,0,0
0,2,4,11,67,181,9102,0,0,0,0
0,2,4,11,67,181,8634,0,0,0,0
0,2,4,11,67,181,14173,0,0,0,0
0,2,4,11,67,181,22877,0,0,0,0
0,2,4,11,67,181,11739,0,0,0,0
0,2,4,11,67,181,11047,0,0,0,0
0,2,4,11,67,181,11147,0,0,0,0
0,2,4,11,67,181,14735,0,0,0,0
0,2,4,11,67,181,16140,0,0,0,0
0,2,4,11,67,181,7891,0,0,0,0
0,2,4,11,67,181,12613,0,0,0,0
0,2,4,11,67,181,14395,0,0,0,0
0,2,4,11,67,181,14911,0,0,0,0
0,2,4,11,67,181,12131,0,0,0,0
0,1,14,34,132,67,269458,0,0,0,0
0,2,4,11,67,181,11620,0,0,0,0
0,2,4,11,67,181,8671,0,0,0,0
0,2,4,11,67,181,11964,0,0,0,0
0,2,4,11,67,181,16313,0,0,0,0
0,2,4,11,67,181,9451,0,0,0,0
0,2,4,11,67,181,10970,0,0,0,0
0,2,4,11,67,181,15923,0,0,0,0
0,2,4,11,67,181,18142,0,0,0,0
0,2,4,11,67,181,15230,0,0,0,0
0,2,4,11,67,181,11275,0,0,0,0
0,2,4,11,67,181,11605,0,0,0,0
0,2,4,11,67,181,13687,0,0,0,0
0,2,4,11,67,181,12767,0,0,0,0
0,2,4,11,67,181,14703,0,0,0,0
0,2,4,11,67,181,10121,0,0,0,0
0,2,4,11,67,181,9740,0,0,0,0
0,2,4,11,67,181,12588,0,0,0,0
0,2,4,11,67,181,10017,0,0,0,0
0,2,4,11,67,181,10707,0,0,0,0
0,2,4,11,67,181,13353,0,0,0,0
0,2,4,11,67,181,12325,0,0,0,0
0,2,4,11,67,181,10898,0,0,0,0
0,2,4,11,67,181,13876,0,0,0,0
0,2,4,11,67,181,14255,0,0,0,0
0,2,4,11,67,181,8497,0,0,0,0
0,2,4,11,67,181,11300,0,0,0,0
0,2,4,11,67,181,14463,0,0,0,0
0,2,4,11,67,181,17347,0,0,0,0
0,2,4,11,67,181,12913,0,0,0,0
0,2,4,11,67,72,45243,0,0,0,0
0,2,4,11,67,181,8913,0,0,0,0
0,2,4,11,67,181,9314,0,0,0,0
0,2,4,11,67,181,12147,0,0,0,0
0,2,4,11,67,181,13744,0,0,0,0
0,2,4,11,67,181,10295,0,0,0,0
0,2,4,11,67,181,11168,0,0,0,0
0,2,4,11,67,181,13249,0,0,0,0
0,2,4,11,67,181,15304,0,0,0,0
0,2,4,11,67,181,14190,0,0,0,0
0,2,4,11,67,181,10495,0,0,0,0
0,2,4,11,67,181,17646,0,0,0,0
0,2,4,11,67,181,15111,0,0,0,0
0,2,4,11,67,181,10498,0,0,0,0
0,2,4,11,67,181,19239,0,0,0,0
0,2,4,11,67,181,10849,0,0,0,0
0,2,4,11,67,181,8614,0,0,0,0
0,2,4,11,67,181,9831,0,0,0,0
0,2,4,11,67,181,10461,0,0,0,0
0,2,4,11,67,181,10275,0,0,0,0
0,2,4,11,67,181,10532,0,0,0,0
0,2,4,11,67,181,10051,0,0,0,0
0,2,4,11,67,181,10938,0,0,0,0
0,2,4,11,67,181,12763,0,0,0,0
0,2,4,11,67,181,12755,0,0,0,0
0,2,4,11,67,181,14771,0,0,0,0
0,2,4,11,67,181,11480,0,0,0,0
0,2,4,11,67,181,9742,0,0,0,0
0,2,4,11,67,181,19753,0,0,0,0
0,2,4,11,67,181,16683,0,0,0,0
0,2,4,11,67,181,10386,0,0,0,0
0,2,4,11,67,181,12657,0,0,0,0
0,2,4,11,67,181,9953,0,0,0,0
0,2,4,11,67,181,7294,0,0,0,0
0,2,4,11,67,181,16830,0,0,0,0
0,2,4,11,67,181,9375,0,0,0,0
0,2,4,11,67,181,11644,0,0,0,0
0,2,4,11,67,181,12597,0,0,0,0
0,2,4,11,67,181,14224,0,0,0,0
0,2,4,11,67,181,12510,0,0,0,0
0,2,4,11,67,181,14531,0,0,0,0
0,2,4,11,67,181,11964,0,0,0,0
0,2,4,11,67,181,9775,0,0,0,0
0,2,4,11,67,181,8957,0,0,0,0
0,2,4,11,67,181,11847,0,0,0,0
0,2,4,11,67,181,10548,0,0,0,0
0,2,4,11,67,181,15144,0,0,0,0
0,2,4,11,67,181,14158,0,0,0,0
0,2,4,11,67,181,11983,0,0,0,0
0,2,4,11,67,181,15327,0,0,0,0
0,2,4,11,67,181,9440,0,0,0,0
0,2,4,11,67,181,10463,0,0,0,0
0,2,4,11,67,181,10912,0,0,0,0
0,2,4,11,67,181,15260,0,0,0,0
0,2,4,11,67,181,11212,0,0,0,0
0,2,4,11,67,181,13822,0,0,0,0
0,2,4,11,67,181,16907,0,0,0,0
0,2,4,11,67,181,8771,0,0,0,0
0,2,4,11,67,181,12424,0,0,0,0
0,2,4,11,67,181,9574,0,0,0,0
0,2,4,11,67,181,14361,0,0,0,0
0,2,4,11,67,181,7746,0,0,0,0
0,2,4,11,67,181,18266,0,0,0,0
0,2,4,11,67,181,12130,0,0,0,0
0,2,4,11,67,181,16527,0,0,0,0
0,2,4,11,67,181,10953,0,0,0,0
0,2,4,11,67,181,11834,0,0,0,0
0,2,4,11,67,181,14074,0,0,0,0
0,2,4,11,67,181,10487,0,0,0,0
0,2,4,11,67,181,11540,0,0,0,0
0,2,4,11,67,181,10252,0,0,0,0
0,2,4,11,67,181,15943,0,0,0,0
0,2,4,11,67,181,15851,0,0,0,0
0,2,4,11,67,181,12631,0,0,0,0
0,2,4,11,67,181,11691,0,0,0,0
0,2,4,11,67,181,8595,0,0,0,0
0,2,4,11,67,181,11156,0,0,0,0
0,2,4,11,67,181,10756,0,0,0,0
0,2,4,11,67,181,16158,0,0,0,0
0,2,4,11,67,181,15945,0,0,0,0
0,2,4,11,67,181,11368,0,0,0,0
0,2,4,11,67,181,13617,0,0,0,0
0,2,4,11,67,181,11555,0,0,0,0
0,2,4,11,67,181,11389,0,0,0,0
0,2,4,11,67,181,8363,0,0,0,0
0,2,4,11,67,181,10725,0,0,0,0
0,2,4,11,67,181,10754,0,0,0,0
0,2,4,11,67,181,13021,0,0,0,0
0,2,4,11,67,181,10830,0,0,0,0
0,2,4,11,67,181,11944,0,0,0,0
0,2,4,11,67,181,8246,0,0,0,0
0,2,4,11,67,181,12306,0,0,0,0
0,2,4,12,67,181,13070,0,34,0,0
0,2,4,11,67,181,10550,0,0,0,0
0,2,4,11,67,181,10025,0,0,0,0
0,2,4,11,67,181,16514,0,0,0,0
0,2,4,11,67,181,9704,0,0,0,0
0,2,4,11,67,181,10004,0,0,0,0
0,2,4,11,67,181,17011,0,0,0,0
0,2,4,11,67,181,10939,0,0,0,0
0,2,4,11,67,181,15346,0,0,0,0
0,2,4,11,67,181,11067,0,0,0,0
0,2,4,11,67,181,14230,0,0,0,0
0,2,4,11,67,181,9543,0,0,0,0
0,2,4,11,67,181,11128,0,0,0,0
0,2,4,11,67,181,10795,0,0,0,0
0,2,4,11,67,181,12091,0,0,0,0
0,2,4,11,67,181,9195,0,0,0,0
0,2,4,11,67,181,12040,0,0,0,0
0,2,4,11,67,181,10930,0,0,0,0
0,2,4,11,67,181,10077,0,0,0,0
0,2,4,11,67,181,15723,0,0,0,0
0,2,4,11,67,181,8495,0,0,0,0
0,2,4,11,67,181,11230,0,0,0,0
0,2,4,11,67,181,15590,0,0,0,0
